season,team,seed,source_1,source_2,source_3,source_4
2001,Alabama State,16,-4.46782,,,
2001,Arizona,2,29.8902,,,
2001,Arkansas,7,17.2374,,,
2001,BYU,12,15.5326,,,
2001,Boston College,3,23.4121,,,
2001,Butler,10,17.6478,,,
2001,Cal State Northridge,13,8.93691,,,
2001,California,8,17.8195,,,
2001,Charlotte,9,15.5448,,,
2001,Cincinnati,5,17.1324,,,
2001,Creighton,10,16.8632,,,
2001,Duke,1,37.5678,,,
2001,Eastern Illinois,15,4.35337,,,
2001,Florida,3,24.2775,,,
2001,Fresno State,9,15.3086,,,
2001,George Mason,14,8.04444,,,
2001,Georgetown,10,13.8542,,,
2001,Georgia,8,14.5452,,,
2001,Georgia State,11,9.18199,,,
2001,Georgia Tech,8,16.6979,,,
2001,Gonzaga,12,14.1747,,,
2001,Hampton,15,0.0437103,,,
2001,Hawaii,12,6.99157,,,
2001,Hofstra,13,10.6791,,,
2001,Holy Cross,15,2.21637,,,
2001,Illinois,1,27.4282,,,
2001,Indiana,4,21.0867,,,
2001,Indiana State,13,9.75204,,,
2001,Iona,14,0.954416,,,
2001,Iowa,7,16.2015,,,
2001,Iowa State,2,20.2903,,,
2001,Kansas,4,22.5899,,,
2001,Kent St.,13,12.6284,,,
2001,Kentucky,2,25.1357,,,
2001,Maryland,3,26.3333,,,
2001,Michigan State,1,30.9283,,,
2001,Mississippi,3,18.9024,,,
2001,Missouri,9,12.2158,,,
2001,Monmouth,16,-1.21212,,,
2001,North Carolina,2,23.871,,,
2001,Northwestern St.,16,-6.57108,,,
2001,Notre Dame,6,14.6856,,,
2001,Ohio State,5,17.5611,,,
2001,Oklahoma,4,19.1183,,,
2001,Oklahoma State,11,13.5392,,,
2001,Penn State,7,14.7022,,,
2001,Princeton,15,-0.414098,,,
2001,Providence,10,16.3536,,,
2001,Saint Joseph's,9,16.0738,,,
2001,Southern Utah,14,6.88624,,,
2001,Stanford,1,33.231,,,
2001,Syracuse,5,12.8705,,,
2001,Temple,11,18.7866,,,
2001,Tennessee,8,17.9883,,,
2001,Texas,6,17.9078,,,
2001,UCLA,4,18.5071,,,
2001,UNC Greensboro,16,-2.97309,,,
2001,Southern California,6,17.9665,,,
2001,Utah State,12,15.3504,,,
2001,Virginia,5,22.7553,,,
2001,Wake Forest,7,23.8805,,,
2001,Western Kentucky,14,12.7455,,,
2001,Winthrop,16,-0.620731,,,
2001,Wisconsin,6,18.2483,,,
2001,Xavier,11,16.1769,,,
2002,Alabama,2,20.0181,,,
2002,Alcorn State,16,-8.40177,,,
2002,Arizona,3,21.8199,,,
2002,Boston College,11,10.2439,,,
2002,Boston University,16,-2.19695,,,
2002,California,6,16.8143,,,
2002,Central Connecticut State,14,0.972884,,,
2002,Charlotte,9,16.9942,,,
2002,Cincinnati,1,30.8442,,,
2002,UConn,2,18.5499,,,
2002,Creighton,12,11.3452,,,
2002,Davidson,13,3.34606,,,
2002,Duke,1,34.022,,,
2002,Florida,5,25.7176,,,
2002,Florida Atlantic,15,-3.08732,,,
2002,Georgia,3,18.8371,,,
2002,Gonzaga,6,19.7952,,,
2002,Hampton,15,3.92456,,,
2002,Hawaii,10,13.5696,,,
2002,Holy Cross,16,-0.667653,,,
2002,Illinois,4,21.9149,,,
2002,Illinois Chicago,15,3.27351,,,
2002,Indiana,5,22.9213,,,
2002,Kansas,1,27.7883,,,
2002,Kent St.,10,19.3362,,,
2002,Kentucky,4,22.1792,,,
2002,Marquette,5,22.2615,,,
2002,Maryland,1,26.8534,,,
2002,McNeese,14,5.73024,,,
2002,Miami,5,16.1625,,,
2002,Michigan State,10,17.2017,,,
2002,Mississippi,9,18.3854,,,
2002,Mississippi State,3,18.9632,,,
2002,Missouri,12,15.1086,,,
2002,Montana,15,-4.18602,,,
2002,Murray State,14,1.07887,,,
2002,N.C. State,7,18.2573,,,
2002,Notre Dame,8,17.7678,,,
2002,Ohio State,4,20.8285,,,
2002,Oklahoma,2,24.8637,,,
2002,Oklahoma State,7,15.6932,,,
2002,Oregon,2,24.1236,,,
2002,Penn,11,12.3806,,,
2002,Pepperdine,10,12.7171,,,
2002,Pittsburgh,3,19.2728,,,
2002,San Diego State,13,10.3606,,,
2002,Siena,16,-1.73585,,,
2002,Southern Illinois,11,12.7039,,,
2002,St. John's,9,9.28117,,,
2002,Stanford,8,21.0509,,,
2002,Texas,6,16.5086,,,
2002,Texas Tech,6,17.3249,,,
2002,Tulsa,12,15.2246,,,
2002,UC Santa Barbara,14,9.59321,,,
2002,UCLA,8,15.3217,,,
2002,UNC Wilmington,13,10.7173,,,
2002,Southern California,4,21.8232,,,
2002,Utah,12,15.2805,,,
2002,Valparaiso,13,14.1322,,,
2002,Wake Forest,7,16.6817,,,
2002,Western Kentucky,9,15.3154,,,
2002,Winthrop,16,-5.04399,,,
2002,Wisconsin,8,13.2916,,,
2002,Wyoming,11,10.8511,,,
2002,Xavier,7,18.7095,,,
2003,Alabama,10,15.468,,,
2003,Arizona,1,26.4243,,,
2003,Arizona State,10,16.7407,,,
2003,Auburn,10,12.8881,,,
2003,Austin Peay,13,3.16008,,,
2003,BYU,12,18.2088,,,
2003,Butler,12,15.3765,,,
2003,California,8,13.5863,,,
2003,Central Michigan,11,10.3641,,,
2003,Cincinnati,8,15.3334,,,
2003,Colorado,10,15.8705,,,
2003,Colorado State,14,6.27421,,,
2003,UConn,5,18.3956,,,
2003,Creighton,6,18.3096,,,
2003,Dayton,4,15.8425,,,
2003,Duke,3,22.8018,,,
2003,East Tennessee St.,15,0.744035,,,
2003,Florida,2,23.6341,,,
2003,Gonzaga,9,14.9545,,,
2003,Holy Cross,14,10.1775,,,
2003,IUPUI,16,0.761365,,,
2003,Illinois,4,24.9472,,,
2003,Indiana,7,14.5633,,,
2003,Kansas,2,27.1016,,,
2003,Kentucky,1,29.7672,,,
2003,LSU,8,20.0374,,,
2003,Louisville,4,23.6507,,,
2003,Manhattan,14,10.0239,,,
2003,Marquette,3,21.2188,,,
2003,Maryland,6,21.493,,,
2003,Memphis,7,17.8261,,,
2003,Michigan State,7,17.7907,,,
2003,Milwaukee,12,12.6377,,,
2003,Mississippi State,5,22.4034,,,
2003,Missouri,6,17.6329,,,
2003,NC State,9,13.034,,,
2003,Notre Dame,5,19.6817,,,
2003,Oklahoma,1,23.4861,,,
2003,Oklahoma State,6,17.3367,,,
2003,Oregon,8,14.3485,,,
2003,Penn,11,14.2661,,,
2003,Pittsburgh,2,27.1788,,,
2003,Purdue,9,15.962,,,
2003,Saint Joseph's,7,21.5962,,,
2003,Sam Houston State,15,1.93338,,,
2003,San Diego,13,8.36166,,,
2003,South Carolina St.,16,-8.91754,,,
2003,Southern Illinois,11,11.8425,,,
2003,Stanford,4,14.8974,,,
2003,Syracuse,3,19.9564,,,
2003,Texas,1,23.3866,,,
2003,Texas Southern,16,-9.73895,,,
2003,Troy St.,14,6.29692,,,
2003,Tulsa,13,11.4437,,,
2003,UNC Asheville,16,-13.3682,,,
2003,UNC Wilmington,11,14.4278,,,
2003,Utah,9,14.8447,,,
2003,Utah State,15,6.73911,,,
2003,Vermont,16,1.8376,,,
2003,Wagner,15,-1.04621,,,
2003,Wake Forest,2,20.8361,,,
2003,Weber State,12,8.7425,,,
2003,Western Kentucky,13,11.5715,,,
2003,Wisconsin,5,22.3863,,,
2003,Xavier,3,20.8379,,,
2004,Air Force,11,16.1376,,,
2004,Alabama,8,16.4613,,,
2004,Alabama State,16,-10.6902,,,
2004,Arizona,9,16.6199,,,
2004,BYU,12,16.3472,,,
2004,Boston College,6,14.6068,,,
2004,Charlotte,9,14.6558,,,
2004,Cincinnati,4,23.8562,,,
2004,UConn,2,25.8489,,,
2004,Dayton,10,9.7763,,,
2004,DePaul,7,11.8121,,,
2004,Duke,1,31.7279,,,
2004,East Tennessee St.,13,8.12644,,,
2004,Eastern Washington,15,3.42788,,,
2004,Florida,5,19.9244,,,
2004,Florida A&M,16,-10.7325,,,
2004,Georgia Tech,3,24.8537,,,
2004,Gonzaga,2,26.7299,,,
2004,Illinois,5,19.1845,,,
2004,Illinois Chicago,13,10.8768,,,
2004,Kansas,4,18.1966,,,
2004,Kentucky,1,24.6321,,,
2004,Lehigh,16,-5.7816,,,
2004,Liberty,16,-2.70715,,,
2004,Louisiana Lafayette,14,10.4304,,,
2004,Louisville,10,21.6473,,,
2004,Manhattan,12,11.6168,,,
2004,Maryland,4,20.2142,,,
2004,Memphis,7,15.9997,,,
2004,Michigan State,7,14.9366,,,
2004,Mississippi State,2,22.6715,,,
2004,Monmouth,15,-3.56253,,,
2004,Murray State,12,11.6398,,,
2004,Nevada,10,18.8308,,,
2004,North Carolina,6,23.0232,,,
2004,NC State,3,24.3286,,,
2004,Northern Iowa,14,8.4316,,,
2004,Oklahoma State,2,24.7896,,,
2004,Pacific,12,8.74172,,,
2004,Pittsburgh,3,26.1303,,,
2004,Princeton,14,5.49455,,,
2004,Providence,5,18.6645,,,
2004,Richmond,11,15.0585,,,
2004,Saint Joseph's,1,27.8057,,,
2004,Seton Hall,8,17.629,,,
2004,South Carolina,10,16.596,,,
2004,Southern Illinois,9,14.3539,,,
2004,Stanford,1,23.0568,,,
2004,Syracuse,5,15.6907,,,
2004,Texas,3,20.3341,,,
2004,Texas Tech,8,16.0926,,,
2004,UAB,9,14.4594,,,
2004,UCF,14,5.82918,,,
2004,UTEP,13,14.5091,,,
2004,UT San Antonio,16,-7.53956,,,
2004,Utah,11,14.839,,,
2004,VCU,13,8.73412,,,
2004,Valparaiso,15,0.881225,,,
2004,Vanderbilt,6,18.9602,,,
2004,Vermont,15,-1.29931,,,
2004,Wake Forest,4,22.3686,,,
2004,Washington,8,11.1048,,,
2004,Western Michigan,11,17.4602,,,
2004,Wisconsin,6,24.6539,,,
2004,Xavier,7,17.837,,,
2005,Alabama,5,21.4752,,,
2005,Alabama A&M,16,-12.2885,,,
2005,Arizona,3,20.6464,,,
2005,Boston College,4,18.0519,,,
2005,Bucknell,14,5.8484,,,
2005,Charlotte,7,12.2743,,,
2005,Chattanooga,15,-0.470586,,,
2005,Cincinnati,7,20.1864,,,
2005,UConn,2,22.7543,,,
2005,Creighton,10,14.4361,,,
2005,Delaware State,16,-5.33826,,,
2005,Duke,1,28.6957,,,
2005,Eastern Kentucky,15,1.35916,,,
2005,Fairleigh Dickinson,16,-3.07905,,,
2005,Florida,4,24.8756,,,
2005,George Washington,12,14.7044,,,
2005,Georgia Tech,5,20.3479,,,
2005,Gonzaga,3,18.4368,,,
2005,Illinois,1,33.3107,,,
2005,Iowa,10,17.8671,,,
2005,Iowa State,9,13.0077,,,
2005,Kansas,3,23.935,,,
2005,Kentucky,2,23.9456,,,
2005,LSU,6,14.5794,,,
2005,Louisiana Lafayette,13,9.65038,,,
2005,Louisville,4,24.7011,,,
2005,Michigan State,5,25.6192,,,
2005,Milwaukee,12,12.9683,,,
2005,Minnesota,8,15.0549,,,
2005,Mississippi State,9,14.4497,,,
2005,Montana,16,-3.00797,,,
2005,Nevada,9,11.6337,,,
2005,New Mexico,12,15.6566,,,
2005,Niagara,14,5.48207,,,
2005,North Carolina,1,32.0028,,,
2005,NC State,10,19.009,,,
2005,Northern Iowa,11,13.3809,,,
2005,Oakland,16,-0.980674,,,
2005,Ohio,13,8.03021,,,
2005,Oklahoma,3,23.6343,,,
2005,Oklahoma State,2,25.7432,,,
2005,Old Dominion,12,10.002,,,
2005,Pacific,8,14.1981,,,
2005,Penn,13,10.2052,,,
2005,Pittsburgh,9,18.8718,,,
2005,Saint Mary's,10,9.81777,,,
2005,Southeastern Louisiana,15,3.15302,,,
2005,Southern Illinois,7,16.5489,,,
2005,Stanford,8,11.907,,,
2005,Syracuse,4,21.3833,,,
2005,Texas,8,17.8724,,,
2005,Texas Tech,6,15.6457,,,
2005,UAB,11,12.3689,,,
2005,UCF,15,-3.33956,,,
2005,UCLA,11,11.4675,,,
2005,UTEP,11,11.7556,,,
2005,Utah,6,20.1555,,,
2005,Utah State,14,20.2874,,,
2005,Vermont,13,13.6451,,,
2005,Villanova,5,23.8126,,,
2005,Wake Forest,2,25.8856,,,
2005,Washington,1,22.6814,,,
2005,West Virginia,7,13.8568,,,
2005,Winthrop,14,5.00565,,,
2005,Wisconsin,6,20.345,,,
2006,Air Force,13,15.2867,,,
2006,Alabama,10,11.0491,,,
2006,Albany,16,2.38435,,,
2006,Arizona,8,15.7758,,,
2006,Arkansas,8,18.107,,,
2006,Belmont,15,0.328042,,,
2006,Boston College,4,18.1943,,,
2006,Bradley,13,16.3566,,,
2006,Bucknell,9,12.6066,,,
2006,California,7,13.3727,,,
2006,UConn,1,25.9129,,,
2006,Davidson,15,4.83337,,,
2006,Duke,1,28.5656,,,
2006,Florida,3,23.9172,,,
2006,George Mason,11,16.5044,,,
2006,George Washington,8,14.89,,,
2006,Georgetown,7,19.7838,,,
2006,Gonzaga,3,14.6999,,,
2006,Hampton,16,-9.77332,,,
2006,Illinois,4,23.7637,,,
2006,Indiana,6,16.6049,,,
2006,Iona,13,11.4947,,,
2006,Iowa,3,19.3097,,,
2006,Kansas,4,24.1225,,,
2006,Kent St.,12,10.9348,,,
2006,Kentucky,8,15.943,,,
2006,LSU,4,20.2666,,,
2006,Marquette,7,15.573,,,
2006,Memphis,1,22.2972,,,
2006,Michigan State,6,17.0338,,,
2006,Milwaukee,11,12.1486,,,
2006,Monmouth,16,-1.88684,,,
2006,Montana,12,8.81599,,,
2006,Murray State,14,8.28998,,,
2006,Nevada,5,16.2837,,,
2006,North Carolina,3,23.2731,,,
2006,NC State,10,16.6834,,,
2006,Northern Iowa,10,16.3692,,,
2006,Northwestern St.,14,7.21097,,,
2006,Ohio State,2,22.7439,,,
2006,Oklahoma,6,14.8143,,,
2006,Oral Roberts,16,6.0496,,,
2006,Pacific,13,11.3464,,,
2006,Penn,15,7.22088,,,
2006,Pittsburgh,5,21.5662,,,
2006,San Diego State,11,13.0107,,,
2006,Seton Hall,10,9.75889,,,
2006,South Alabama,14,9.98002,,,
2006,Southern,16,-3.64127,,,
2006,Southern Illinois,11,14.7533,,,
2006,Syracuse,5,13.3126,,,
2006,Tennessee,2,19.1437,,,
2006,Texas,2,26.3414,,,
2006,Texas A&M,12,15.8005,,,
2006,UAB,9,12.5331,,,
2006,UCLA,2,22.2382,,,
2006,UNC Wilmington,9,14.7547,,,
2006,Utah State,12,11.7478,,,
2006,Villanova,1,25.8328,,,
2006,Washington,5,18.7484,,,
2006,West Virginia,6,17.9911,,,
2006,Wichita State,7,15.4525,,,
2006,Winthrop,15,9.66427,,,
2006,Wisconsin,9,16.4836,,,
2006,Xavier,14,12.9902,,,
2007,Albany,13,3.42522,,,
2007,Arizona,8,19.2093,,,
2007,Arkansas,12,16.8885,,,
2007,BYU,8,15.7494,,,
2007,Belmont,15,4.67153,,,
2007,Boston College,7,15.9057,,,
2007,Butler,5,20.9727,,,
2007,Central Connecticut State,16,-2.02233,,,
2007,Creighton,10,19.1102,,,
2007,Davidson,13,13.6084,,,
2007,Duke,6,23.6432,,,
2007,Eastern Kentucky,16,-2.80238,,,
2007,Florida,1,28.8619,,,
2007,Florida A&M,16,-9.28363,,,
2007,George Washington,11,8.66941,,,
2007,Georgetown,2,28.0911,,,
2007,Georgia Tech,10,19.7464,,,
2007,Gonzaga,10,15.7845,,,
2007,Holy Cross,13,7.65535,,,
2007,Illinois,12,17.6003,,,
2007,Indiana,7,21.0657,,,
2007,Jackson St.,16,-9.31953,,,
2007,Kansas,1,28.2605,,,
2007,Kentucky,8,20.9347,,,
2007,Long Beach State,12,6.37727,,,
2007,Louisville,6,19.4594,,,
2007,Marquette,8,17.8501,,,
2007,Maryland,4,22.3158,,,
2007,Memphis,2,24.8739,,,
2007,Miami (OH),14,8.11199,,,
2007,Michigan State,9,20.769,,,
2007,Nevada,7,16.2229,,,
2007,New Mexico State,13,7.5367,,,
2007,Niagara,16,-2.69168,,,
2007,North Carolina,1,31.7371,,,
2007,North Texas,15,-1.24693,,,
2007,Notre Dame,6,20.7354,,,
2007,Ohio State,1,28.8677,,,
2007,Old Dominion,12,13.2754,,,
2007,Oral Roberts,14,9.03458,,,
2007,Oregon,3,19.7274,,,
2007,Penn,14,8.17781,,,
2007,Pittsburgh,3,22.8504,,,
2007,Purdue,9,17.5977,,,
2007,Southern Illinois,4,20.283,,,
2007,Stanford,11,12.3543,,,
2007,Tennessee,5,16.4443,,,
2007,Texas,4,20.5363,,,
2007,Texas A&M,3,27.3305,,,
2007,Texas A&M-CC,15,7.72391,,,
2007,Texas Tech,10,11.6325,,,
2007,UCLA,2,25.2454,,,
2007,UNLV,7,15.6493,,,
2007,Southern California,5,14.4031,,,
2007,VCU,11,14.3693,,,
2007,Vanderbilt,6,13.6783,,,
2007,Villanova,9,20.6914,,,
2007,Virginia,4,14.2454,,,
2007,Virginia Tech,5,17.9139,,,
2007,Washington State,3,17.8933,,,
2007,Weber State,15,-2.30205,,,
2007,Winthrop,11,14.7077,,,
2007,Wisconsin,2,26.0394,,,
2007,Wright State,14,7.03058,,,
2007,Xavier,9,18.3007,,,
2008,American,15,1.686,6.6,1.5,-1.87
2008,Arizona,10,20.2271,21.3,11.8,14.55
2008,Arkansas,9,14.8678,19.1,10.3,12.48
2008,Austin Peay,15,-0.173098,7.6,1.7,-2.21
2008,BYU,8,16.0675,19.5,9.0,11.82
2008,Baylor,11,15.3717,18.3,8.4,11.46
2008,Belmont,15,2.57916,9.2,3.3,-0.12
2008,Boise State,14,4.12039,10.8,2.6,1.6
2008,Butler,7,19.2975,19.5,13.3,13.0
2008,Cal State Fullerton,14,8.87459,14.3,5.6,5.64
2008,Clemson,5,22.3653,23.3,14.8,18.05
2008,UConn,4,19.1215,21.7,12.6,15.54
2008,Coppin State,16,-14.2405,-4.7,-7.7,-14.51
2008,Cornell,14,5.04434,10.1,4.3,0.76
2008,Davidson,10,20.5532,22.2,16.1,13.93
2008,Drake,5,22.3393,21.4,10.7,14.08
2008,Duke,2,27.6285,28.5,18.9,21.52
2008,George Mason,12,10.2781,13.9,7.1,6.07
2008,Georgetown,2,24.9836,24.8,18.2,18.73
2008,Georgia,14,7.89531,13.2,6.0,7.24
2008,Gonzaga,7,19.3301,22.4,12.2,14.81
2008,Indiana,8,19.5064,22.1,,15.78
2008,Kansas,1,33.9647,32.4,,26.9
2008,Kansas State,11,18.8909,22.1,9.9,15.79
2008,Kent St.,9,13.8274,15.7,8.2,7.47
2008,Kentucky,11,9.70175,15.5,,9.19
2008,Louisville,3,23.198,23.6,16.1,19.0
2008,Marquette,6,21.8442,23.8,14.3,18.62
2008,Memphis,1,29.3779,28.7,20.2,23.73
2008,Miami,7,14.3957,17.7,11.0,12.38
2008,Michigan State,5,20.8814,22.1,13.7,16.32
2008,Mississippi State,8,15.8174,19.4,12.0,13.42
2008,Mississippi Valley St.,16,-14.9674,-4.5,-8.4,-15.28
2008,Mount St. Mary's,16,-1.04085,5.0,0.6,-3.59
2008,North Carolina,1,28.1446,29.5,21.9,24.17
2008,Notre Dame,5,19.1955,21.4,,16.15
2008,Oklahoma,6,15.0751,18.7,,11.97
2008,Oral Roberts,13,11.1323,15.9,6.1,5.71
2008,Oregon,9,16.6554,19.0,10.4,11.68
2008,Pittsburgh,4,19.5116,21.6,13.6,15.62
2008,Portland State,16,5.83665,11.4,3.9,1.72
2008,Purdue,6,18.089,18.7,10.6,13.1
2008,Saint Joseph's,11,14.5658,16.8,,
2008,Saint Mary's,10,15.7105,19.3,9.3,11.39
2008,San Diego,13,4.53284,10.2,2.4,3.39
2008,Siena,13,6.75339,10.8,6.0,4.06
2008,South Alabama,10,12.6239,14.8,6.9,7.76
2008,Stanford,3,23.9361,23.2,14.2,16.31
2008,Temple,12,12.4365,14.9,7.6,8.16
2008,Tennessee,2,22.3372,25.7,16.5,18.41
2008,Texas,2,24.8513,24.8,14.1,18.13
2008,Texas A&M,9,19.6026,22.1,12.5,16.2
2008,UCLA,1,30.5753,28.3,19.3,21.71
2008,UMBC,15,4.10027,9.2,2.7,
2008,UNLV,8,13.6193,17.0,9.3,10.23
2008,Southern California,6,19.9654,20.7,12.3,13.89
2008,UT Arlington,16,-1.99751,7.3,,-2.87
2008,Vanderbilt,4,13.5159,17.7,9.2,10.96
2008,Villanova,12,12.9811,16.2,9.5,11.0
2008,Washington State,4,23.9044,,14.7,16.35
2008,West Virginia,7,20.14,23.4,17.2,17.97
2008,Western Kentucky,12,14.0646,16.7,9.0,9.34
2008,Winthrop,13,7.30673,14.2,6.6,3.61
2008,Wisconsin,3,27.4107,25.7,16.6,19.59
2008,Xavier,3,22.3453,23.6,14.3,17.17
2009,Akron,13,6.9826,12.8,6.7,3.37
2009,Alabama State,16,-2.01623,,-2.0,-6.13
2009,American,14,4.50143,8.3,5.1,-0.05
2009,Arizona,12,16.0133,17.7,7.5,11.88
2009,Arizona State,6,23.4381,22.4,13.5,16.7
2009,BYU,8,21.6562,21.9,10.6,15.12
2009,Binghamton,15,-0.871417,5.4,-0.0,-3.27
2009,Boston College,7,12.1159,16.1,,10.36
2009,Butler,9,16.1506,18.6,11.1,10.07
