season,team,seed,region,kenpom_adj_em,source_1,source_2,source_3,source_4
2026,Duke,1,East,,,,,
2026,Siena,16,East,,,,,
2026,Ohio State,8,East,,,,,
2026,TCU,9,East,,,,,
2026,St. John's,5,East,,,,,
2026,Northern Iowa,12,East,,,,,
2026,Kansas,4,East,,,,,
2026,California Baptist,13,East,,,,,
2026,Louisville,6,East,,,,,
2026,South Florida,11,East,,,,,
2026,Michigan State,3,East,,,,,
2026,North Dakota State,14,East,,,,,
2026,UCLA,7,East,,,,,
2026,UCF,10,East,,,,,
2026,UConn,2,East,,,,,
2026,Furman,15,East,,,,,
2026,Florida,1,South,,,,,
2026,Prairie View A&M,16,South,,,,,
2026,Lehigh,16,South,,,,,
2026,Clemson,8,South,,,,,
2026,Iowa,9,South,,,,,
2026,Vanderbilt,5,South,,,,,
2026,McNeese,12,South,,,,,
2026,Nebraska,4,South,,,,,
2026,Troy,13,South,,,,,
2026,North Carolina,6,South,,,,,
2026,VCU,11,South,,,,,
2026,Illinois,3,South,,,,,
2026,Pennsylvania,14,South,,,,,
2026,Saint Mary's,7,South,,,,,
2026,Texas A&M,10,South,,,,,
2026,Houston,2,South,,,,,
2026,Idaho,15,South,,,,,
2026,Arizona,1,West,,,,,
2026,Long Island Unviersity,16,West,,,,,
2026,Villanova,8,West,,,,,
2026,Utah State,9,West,,,,,
2026,Wisconsin,5,West,,,,,
2026,High Point,12,West,,,,,
2026,Arkansas,4,West,,,,,
2026,Hawaii,13,West,,,,,
2026,BYU,6,West,,,,,
2026,Texas,11,West,,,,,
2026,NC State,11,West,,,,,
2026,Gonzaga,3,West,,,,,
2026,Kennesaw State,14,West,,,,,
2026,Miami,7,West,,,,,
2026,Missouri,10,West,,,,,
2026,Purdue,2,West,,,,,
2026,Queens University,15,West,,,,,
2026,Michigan,1,Midwest,,,,,
2026,UMBC,16,Midwest,,,,,
2026,Howard,16,Midwest,,,,,
2026,Georgia,8,Midwest,,,,,
2026,Saint Louis,9,Midwest,,,,,
2026,Texas Tech,5,Midwest,,,,,
2026,Akron,12,Midwest,,,,,
2026,Alabama,4,Midwest,,,,,
2026,Hofstra,13,Midwest,,,,,
2026,Tennessee,6,Midwest,,,,,
2026,Miami (OH),11,Midwest,,,,,
2026,SMU,11,Midwest,,,,,
2026,Virginia,3,Midwest,,,,,
2026,Wright State,14,Midwest,,,,,
2026,Kentucky,7,Midwest,,,,,
2026,Santa Clara,10,Midwest,,,,,
2026,Iowa State,2,Midwest,,,,,
2026,Tennessee State,15,Midwest,,,,,
2025,Auburn,1,South,35.0475,1.667973073506574,,,
2025,Alabama State,16,South,-9.23758,-2.750101772699369,,,
2025,St. Francis (PA),16,South,,,,,
2025,Louisville,8,South,22.6402,0.4301661182220629,,,
2025,Creighton,9,South,18.7077,0.03784257872061284,,,
2025,Michigan,5,South,22.2758,0.39381196747970354,,,
2025,UC San Diego,12,South,18.7789,0.044945804661491076,,,
2025,Texas A&M,4,South,24.0834,0.5741461136978399,,,
2025,Yale,13,South,11.0438,-0.7267418775756777,,,
2025,Ole Miss,6,South,,,,,
2025,San Diego State,11,South,16.3707,-0.1953068457714122,,,
2025,North Carolina,11,South,19.5481,0.12168458828120268,,,
2025,Iowa State,3,South,26.9956,0.864680026408869,,,
2025,Lipscomb,14,South,9.48591,-0.8821638531520065,,,
2025,Marquette,7,South,21.5789,0.32428615065108046,,,
2025,New Mexico,10,South,17.3187,-0.10073018577207979,,,
2025,Michigan State,2,South,27.5733,0.9223139256510783,,,
2025,Bryant,15,South,1.24635,-1.704178689295571,,,
2025,Florida,1,West,36.1627,1.7792303427378564,,,
2025,Norfolk State,16,West,-1.52741,-1.9809012171856006,,,
2025,UConn,8,West,19.3389,0.1008138738594088,,,
2025,Oklahoma,9,West,18.3649,0.0036433392187445106,,,
2025,Memphis,5,West,15.3543,-0.296707391365633,,,
2025,Colorado State,12,West,17.2919,-0.10340387194083743,,,
2025,Maryland,4,West,26.3494,0.8002122651308431,,,
2025,Grand Canyon,13,West,7.22297,-1.107924725492607,,,
2025,Missouri,6,West,24.4177,0.6074973557208111,,,
2025,Drake,11,West,14.1399,-0.4178612899976891,,,
2025,Texas Tech,3,West,28.0517,0.9700412190515852,,,
2025,UNC Wilmington,14,West,5.14265,-1.3154666214101294,,,
2025,Kansas,7,West,23.2578,0.4917806173946237,,,
2025,Arkansas,10,West,17.7146,-0.06123345613733739,,,
2025,St. John's,2,West,26.3781,0.8030755036772365,,,
2025,Omaha,15,West,,,,,
2025,Duke,1,East,38.1544,1.9779311167048084,,,
2025,American University,16,East,,,,,
2025,Mount St. Mary's,16,East,-6.66958,-2.493906769663203,,,
2025,Mississippi State,8,East,20.105,0.17724338781034624,,,
2025,Baylor,9,East,21.1465,0.2811480200775452,,,
2025,Oregon,5,East,20.1491,0.1816429982596823,,,
2025,Liberty,12,East,13.5333,-0.47837838066814803,,,
2025,Arizona,4,East,25.7258,0.7379991795025903,,,
2025,Akron,13,East,6.57907,-1.1721630286292843,,,
2025,BYU,6,East,22.3936,0.40556421489312255,,,
2025,VCU,11,East,20.6057,0.22719542753784155,,,
2025,Wisconsin,3,East,25.9754,0.7629003760593767,,,
2025,Montana,14,East,0.384426,-1.7901680280015462,,,
2025,Saint Mary's,7,East,23.0883,0.47487055002132544,,,
2025,Vanderbilt,10,East,16.1611,-0.21621746595691843,,,
2025,Alabama,2,East,29.9317,1.157598308501738,,,
2025,Robert Morris,15,East,2.08559,-1.6204524064497485,,,
2025,Houston,1,Midwest,35.4443,1.70755959110967,,,
2025,SIU Edwardsville,16,Midwest,,,,,
2025,Gonzaga,8,Midwest,27.2907,0.8941205035879862,,,
2025,Georgia,9,Midwest,19.3878,0.10569235347329839,,,
2025,Clemson,5,Midwest,23.9249,0.5583334548266435,,,
2025,McNeese,12,Midwest,13.6856,-0.4631842611345,,,
2025,Purdue,4,Midwest,23.8371,0.5495741396916841,,,
2025,High Point,13,Midwest,9.30421,-0.9002910463185454,,,
2025,Illinois,6,Midwest,23.5646,0.5223883381623401,,,
2025,Texas,11,Midwest,17.1519,-0.11737088924031659,,,
2025,Xavier,11,Midwest,17.1975,-0.11282163217705754,,,
2025,Kentucky,3,Midwest,24.2581,0.5915749559994045,,,
2025,Troy,14,Midwest,6.87603,-1.1425369896489028,,,
2025,UCLA,7,Midwest,21.763,0.34265277839989605,,,
2025,Utah State,10,Midwest,15.225,-0.3096069294857952,,,
2025,Tennessee,2,Midwest,31.1527,1.2794106522350552,,,
2025,Wofford,15,Midwest,4.15774,-1.4137255857560602,,,
2024,Purdue,1,Midwest,29.1188,1.501239932436585,,,
2024,Montana State,16,Midwest,-3.90131,-1.871829856317457,,,
2024,Grambling,16,Midwest,-7.81011,-2.2711215361538293,,,
2024,Utah State,8,Midwest,15.1145,0.0706728857899133,,,
2024,TCU,9,Midwest,17.2925,0.2931599096037742,,,
2024,Gonzaga,5,Midwest,21.5643,0.7295327600757899,,,
2024,McNeese,12,Midwest,12.8625,-0.1593733849303871,,,
2024,Kansas,4,Midwest,19.2258,0.4906503426337728,,,
2024,Samford,13,Midwest,9.79216,-0.47301471123738864,,,
2024,South Carolina,6,Midwest,15.0562,0.06471742505146157,,,
2024,Oregon,11,Midwest,13.4292,-0.10148385490499008,,,
2024,Creighton,3,Midwest,23.3993,0.9169816529584506,,,
2024,Akron,14,Midwest,4.93477,-0.9692067427356483,,,
2024,Texas,7,Midwest,18.4035,0.4066507651855922,,,
2024,Virginia,10,Midwest,12.075,-0.23981807329283691,,,
2024,Colorado State,10,Midwest,16.603,0.22272611579309615,,,
2024,Tennessee,2,Midwest,25.9708,1.1796654829572306,,,
2024,Saint Peter's,15,Midwest,-2.32155,-1.7104542361429,,,
2024,North Carolina,1,West,24.6454,1.0442732417437819,,,
2024,Howard,16,West,-8.26283,-2.3173677829036046,,,
2024,Wagner,16,West,-10.0944,-2.5044662944769533,,,
2024,Mississippi State,8,West,17.9796,0.3633485386499193,,,
2024,Michigan State,9,West,20.0344,0.5732504378844102,,,
2024,Saint Mary's,5,West,19.888,0.5582953872478862,,,
2024,Grand Canyon,12,West,13.9138,-0.05198100286633212,,,
2024,Alabama,4,West,22.4823,0.8233082825097312,,,
2024,Charleston,13,West,7.60711,-0.6962219065470658,,,
2024,Clemson,6,West,16.9367,0.25681423326173003,,,
2024,New Mexico,11,West,18.9369,0.4611386341030914,,,
2024,Baylor,3,West,22.305,0.8051967355298427,,,
2024,Colgate,14,West,2.15007,-1.2536693759837927,,,
2024,Dayton,7,West,17.2976,0.2936808847284071,,,
2024,Nevada,10,West,16.818,0.24468879261586018,,,
2024,Arizona,2,West,26.6237,1.2463605141087777,,,
2024,Long Beach State,15,West,-0.0179405,-1.4751359525412766,,,
2024,UConn,1,East,32.2129,1.817308389912465,,,
2024,Stetson,16,East,-4.10409,-1.8925442358808062,,,
2024,Florida Atlantic,8,East,16.2324,0.18486859006976397,,,
2024,Northwestern,9,East,15.909,0.1518326380489182,,,
2024,San Diego State,5,East,19.6992,0.5390090924379427,,,
2024,UAB,12,East,6.28169,-0.8316161908002188,,,
2024,Auburn,4,East,28.9015,1.47904230604781,,,
2024,Yale,13,East,9.47277,-0.5056410337974938,,,
2024,BYU,6,East,21.0093,0.6728384082774922,,,
2024,Duquesne,11,East,9.37095,-0.516042148932814,,,
2024,Illinois,3,East,23.9874,0.9770572354676019,,,
2024,Morehead State,14,East,5.46886,-0.9146483889483459,,,
2024,Washington State,7,East,16.2157,0.1831626519165539,,,
2024,Drake,10,East,14.7142,0.029781446105483368,,,
2024,Iowa State,2,East,26.7178,1.255973015918183,,,
2024,South Dakota State,15,East,2.98785,-1.1680884858043727,,,
2024,Houston,1,South,31.7189,1.766845309212719,,,
2024,Longwood,16,South,0.959163,-1.3753228902487575,,,
2024,Nebraska,8,South,18.1917,0.385014974715539,,,
2024,Texas A&M,9,South,16.1079,0.17215066790960548,,,
2024,Wisconsin,5,South,20.6008,0.6311093223142404,,,
2024,James Madison,12,South,12.9,-0.15554268548455621,,,
2024,Duke,4,South,24.8766,1.067890780727145,,,
2024,Vermont,13,South,6.97711,-0.7605776572370255,,,
2024,Texas Tech,6,South,18.5449,0.42109505589600504,,,
2024,NC State,11,South,13.0559,-0.13961719098842182,,,
2024,Kentucky,3,South,20.0246,0.5722493484292328,,,
2024,Oakland,14,South,2.81758,-1.1854819043281497,,,
2024,Florida,7,South,18.1881,0.384647227568739,,,
2024,Boise State,10,South,16.3813,0.20007902066934344,,,
2024,Colorado,10,South,18.4666,0.4130965554531102,,,
2024,Marquette,2,South,22.7368,0.8493059627487706,,,
2024,Western Kentucky,15,South,3.06269,-1.1604434312303464,,,
2023,Alabama,1,South,27.5425,1.515918478509602,,,
2023,Texas A&M-Corpus Christi,16,South,,,,,
2023,Southeast Missouri State,16,South,,,,,
2023,Maryland,8,South,18.3703,0.4195256147488224,,,
2023,West Virginia,9,South,19.1445,0.5120690999675918,,,
2023,San Diego State,5,South,20.2549,0.6448000299429486,,,
2023,Charleston,12,South,11.7607,-0.3705485520065089,,,
2023,Virginia,4,South,16.4114,0.185369798170358,,,
2023,Furman,13,South,8.42507,-0.7692708790541496,,,
2023,Creighton,6,South,20.6545,0.6925659517892676,,,
2023,NC State,11,South,13.3052,-0.18592776549089393,,,
2023,Baylor,3,South,19.9811,0.6120715279371377,,,
2023,UC Santa Barbara,14,South,6.6422,-0.9823850659464088,,,
2023,Missouri,7,South,13.9186,-0.11260540197604879,,,
2023,Utah State,10,South,18.8814,0.4806196153885962,,,
2023,Arizona,2,South,22.8595,0.9561391691844968,,,
2023,Princeton,15,South,5.5658,-1.111051828397304,,,
2023,Purdue,1,East,24.5463,1.1577696921333729,,,
2023,Texas Southern,16,East,-9.71,-2.9370344834023103,,,
2023,Fairleigh Dickinson,16,East,-12.2499,-3.2406397509134863,,,
2023,Memphis,8,East,18.6881,0.4575136276686425,,,
2023,Florida Atlantic,9,East,18.2298,0.4027310401256798,,,
2023,Duke,5,East,18.4885,0.4336545736132739,,,
2023,Oral Roberts,12,East,13.2487,-0.19268145564183742,,,
2023,Tennessee,4,East,24.7052,1.1767636985932832,,,
2023,Louisiana,13,East,8.20091,-0.7960656964742467,,,
2023,Kentucky,6,East,17.7987,0.35119978660228596,,,
2023,Providence,11,East,14.7305,-0.015555472178685387,,,
2023,Kansas State,3,East,18.3143,0.4128316917673562,,,
2023,Montana State,14,East,5.74793,-1.0892810392434753,,,
2023,Michigan State,7,East,16.7099,0.22105079834835167,,,
2023,USC,10,East,15.6327,0.09228840842629227,,,
2023,Marquette,2,East,21.8296,0.8330307534949971,,,
2023,Vermont,15,East,5.42124,-1.1283317124366035,,,
2023,Houston,1,Midwest,28.8196,1.6685757827887164,,,
2023,Northern Kentucky,16,Midwest,0.516867,-1.714572696979139,,,
2023,Iowa,8,Midwest,15.6021,0.08863065765427687,,,
2023,Auburn,9,Midwest,17.4484,0.3093269076664361,,,
2023,Miami,5,Midwest,,,,,
2023,Drake,12,Midwest,12.5086,-0.28114881990224966,,,
2023,Indiana,4,Midwest,17.3586,0.2985927240282993,,,
2023,Kent State,13,Midwest,,,,,
2023,Iowa State,6,Midwest,18.3345,0.4152462854142421,,,
2023,Pittsburgh,11,Midwest,11.2663,-0.42964632918573853,,,
2023,Xavier,3,Midwest,19.693,0.5776336848842735,,,
2023,Kennesaw State,14,Midwest,3.64263,-1.3409366830449154,,,
2023,Texas A&M,7,Midwest,18.2834,0.4091380806936544,,,
2023,Penn State,10,Midwest,15.0367,0.021045942409259846,,,
2023,Texas,2,Midwest,24.5707,1.1606863300038688,,,
2023,Colgate,15,Midwest,5.29267,-1.1437002423960159,,,
2023,Kansas,1,West,23.1356,0.9891426001699039,,,
2023,Howard,16,West,-3.21361,-2.160492799160047,,,
2023,Arkansas,8,West,18.6287,0.45041328793473023,,,
2023,Illinois,9,West,16.4805,0.19362962099213127,,,
2023,Saint Mary's,5,West,21.896,0.8409678336015929,,,
2023,VCU,12,West,13.1498,-0.20450340176446227,,,
2023,UConn,4,West,25.3686,1.256062779055866,,,
2023,Iona,13,West,11.7114,-0.37644159491697826,,,
2023,TCU,6,West,18.0633,0.3828285726897136,,,
2023,Arizona State,11,West,12.3762,-0.2969751663798587,,,
2023,Nevada,11,West,14.7927,-0.008120436295699706,,,
2023,Gonzaga,3,West,24.3101,1.1295356812722603,,,
2023,Grand Canyon,14,West,5.99141,-1.0601768183947722,,,
2023,Northwestern,7,West,14.8321,-0.003410783340882397,,,
2023,Boise State,10,West,17.1342,0.27176921836685297,,,
2023,UCLA,2,West,27.6323,1.526652662147739,,,
2023,UNC Asheville,15,West,1.50642,-1.596287133263447,,,
2022,Gonzaga,1,West,32.9688,2.223164680376355,,,
2022,Georgia State,16,West,1.84485,-1.6046463073417443,,,
2022,Boise State,8,West,16.412,0.18690961116274185,,,
2022,Memphis,9,West,16.2198,0.1632716965715856,,,
2022,UConn,5,West,19.3281,0.5455491675585319,,,
2022,New Mexico State,12,West,10.1026,-0.5890584342141646,,,
2022,Arkansas,4,West,19.0214,0.5078293527556828,,,
2022,Vermont,13,West,13.0669,-0.2244909512663781,,,
2022,Alabama,6,West,17.3625,0.3038078308240014,,,
2022,Notre Dame,11,West,13.6336,-0.1547947691706016,,,
2022,Rutgers,11,West,10.8648,-0.49531848363466763,,,
2022,Texas Tech,3,West,24.641,1.198961635983892,,,
2022,Montana State,14,West,3.80856,-1.3631374142002277,,,
2022,Michigan State,7,West,14.8717,-0.0025257678422424767,,,
2022,Davidson,10,West,14.8028,-0.010999505174868352,,,
2022,Duke,2,West,23.7124,1.0847568103369216,,,
2022,Cal State Fullerton,15,West,,,,,
2022,Baylor,1,East,26.3204,1.4055043714905928,,,
2022,Norfolk State,16,East,0.14543,-1.8136512231300006,,,
2022,North Carolina,8,East,16.0459,0.14188442629373924,,,
2022,Marquette,9,East,14.0024,-0.10943752202586464,,,
2022,Saint Mary's,5,East,19.8082,0.6045947596252027,,,
2022,Indiana,12,East,14.9367,0.0054683239809892965,,,
2022,Wyoming,12,East,13.0956,-0.22096125226135127,,,
2022,UCLA,4,East,24.8472,1.2243213549677447,,,
2022,Akron,13,East,3.48951,-1.402376106449491,,,
2022,Texas,6,East,20.4063,0.6781527030017409,,,
2022,Virginia Tech,11,East,17.8634,0.36541153227410617,,,
2022,Purdue,3,East,22.2872,0.9094771231604598,,,
2022,Yale,14,East,2.23432,-1.5567469389972197,,,
2022,Murray State,7,East,16.389,0.18408093251759833,,,
2022,San Francisco,10,East,18.3679,0.4274579834251902,,,
2022,Kentucky,2,East,26.5948,1.439251737587436,,,
2022,Saint Peter's,15,East,4.27548,-1.3057127779832522,,,
2022,Arizona,1,South,27.2089,1.5147774574127695,,,
2022,Wright State,16,South,-0.866069,-1.9380514675162646,,,
2022,Bryant,16,South,-0.950484,-1.9484333330740817,,,
2022,Seton Hall,8,South,14.967,0.009194800630895882,,,
2022,TCU,9,South,14.909,0.0020616110040121123,,,
2022,Houston,5,South,26.4976,1.4272974956610032,,,
2022,UAB,12,South,14.0333,-0.10563725375912818,,,
2022,Illinois,4,South,19.5866,0.5773410558093849,,,
2022,Chattanooga,13,South,11.2724,-0.44518937860160174,,,
2022,Colorado State,6,South,15.8566,0.11860317118392723,,,
2022,Michigan,11,South,15.6481,0.0929605843355604,,,
2022,Tennessee,3,South,25.2399,1.2726179681828698,,,
2022,Longwood,14,South,2.48399,-1.526041017374046,,,
2022,Ohio State,7,South,15.8224,0.11439704902462676,,,
2022,Loyola Chicago,10,South,17.6948,0.34467608794492355,,,
2022,Villanova,2,South,24.1107,1.1337421453091256,,,
2022,Delaware,15,South,2.283,-1.5507599791517594,,,
2022,Kansas,1,Midwest,25.492,1.3036227458542045,,,
2022,Texas Southern,16,Midwest,-1.33245,-1.9954098142641217,,,
2022,Texas A&M-Corpus Christi,16,Midwest,,,,,
2022,San Diego State,8,Midwest,18.151,0.40078231394120595,,,
2022,Creighton,9,Midwest,13.4685,-0.17509976240161032,,,
2022,Iowa,5,Midwest,23.5269,1.0619429021336988,,,
2022,Richmond,12,Midwest,9.82501,-0.6231981257404866,,,
2022,Providence,4,Midwest,13.8797,-0.12452790766756534,,,
2022,South Dakota State,13,Midwest,11.4429,-0.4242202608191243,,,
2022,LSU,6,Midwest,19.0816,0.5152331116442761,,,
2022,Iowa State,11,Midwest,13.9459,-0.11638623261067382,,,
2022,Wisconsin,3,Midwest,15.5839,0.08506488133476839,,,
2022,Colgate,15,Midwest,4.21729,-1.3128693349554654,,,
2022,USC,7,Midwest,14.4494,-0.054462767487639445,,,
2022,Miami,10,Midwest,,,,,
2022,Auburn,2,Midwest,24.453,1.1758402627105446,,,
2022,Jacksonville State,15,Midwest,2.24147,-1.5558675888966642,,,
2021,Gonzaga,1,West,36.6241,2.259120415515903,,,
2021,Norfolk State,16,West,-3.74215,-2.144842820199606,,,
2021,App State,16,West,,,,,
2021,Oklahoma,8,West,16.6439,0.0792779421069779,,,
2021,Missouri,9,West,15.15,-0.08370674628581042,,,
2021,Creighton,5,West,21.3051,0.5878154811232882,,,
2021,UC Santa Barbara,12,West,12.2317,-0.40209366384165407,,,
2021,Virginia,4,West,22.6542,0.7350024702863587,,,
2021,Ohio,13,West,11.1142,-0.5240130622477998,,,
2021,USC,6,West,22.2245,0.6881221432213736,,,
2021,Drake,11,West,14.6425,-0.13907506368278494,,,
2021,Wichita State,11,West,11.5469,-0.4768054347844089,,,
2021,Kansas,3,West,21.0313,0.5579438647621228,,,
2021,Eastern Washington,14,West,6.65145,-1.0108996799095689,,,
2021,Oregon,7,West,17.6799,0.19230567968976733,,,
2021,VCU,10,West,15.9115,-0.0006269951571482407,,,
2021,Iowa,2,West,28.9031,1.4167582901522775,,,
2021,Grand Canyon,15,West,6.97644,-0.9754432277502729,,,
2021,Michigan,1,East,30.7915,1.6227829809354235,,,
2021,Texas Southern,16,East,-6.05453,-2.39712378528811,,,
2021,Mount St. Mary's,16,East,-5.0102,-2.283187243599081,,,
2021,LSU,8,East,19.5899,0.40068693334143485,,,
2021,St. Bonaventure,9,East,20.8204,0.5349346467541976,,,
2021,Colorado,5,East,21.6816,0.6288916811232111,,,
2021,Georgetown,12,East,14.0569,-0.2029641014515893,,,
2021,Florida State,4,East,,,,,
2021,UNC Greensboro,13,East,8.15332,-0.8470454634583491,,,
2021,BYU,6,East,20.9462,0.5486594434606793,,,
2021,UCLA,11,East,15.9175,2.7605639663305005e-05,,,
2021,Michigan State,11,East,14.0141,-0.20763358713551167,,,
2021,Texas,3,East,20.5822,0.5089469951207802,,,
2021,Abilene Christian,14,East,10.1273,-0.6316839833100149,,,
2021,UConn,7,East,21.9011,0.6528391602732326,,,
2021,Maryland,10,East,18.7175,0.30550797748503983,,,
2021,Alabama,2,East,24.9876,0.9895767201663593,,,
2021,Iona,15,East,-1.03598,-1.849599313815034,,,
2021,Baylor,1,South,29.4969,1.4815419490100579,,,
2021,Hartford,16,South,-2.73095,-2.0345207659103046,,,
2021,North Carolina,8,South,20.0876,0.4549860694369503,,,
2021,Wisconsin,9,South,22.6545,0.7350352003261992,,,
2021,Villanova,5,South,22.6184,0.7310966855320501,,,
2021,Winthrop,12,South,8.93908,-0.7613189431079124,,,
2021,Purdue,4,South,22.2716,0.693260759476344,,,
2021,North Texas,13,South,11.6975,-0.4603749547844398,,,
2021,Texas Tech,6,South,20.9465,0.5486921735005198,,,
2021,Utah State,11,South,16.51,0.06466943432480111,,,
2021,Arkansas,3,South,21.5292,0.6122648208841985,,,
2021,Colgate,14,South,10.2223,-0.6213194706938323,,,
2021,Florida,7,South,17.5522,0.17837359273096204,,,
2021,Virginia Tech,10,South,15.2207,-0.07599336689671463,,,
2021,Ohio State,2,South,25.4253,1.0373298482937596,,,
2021,Oral Roberts,15,South,1.21622,-1.6038839947185495,,,
2021,Illinois,1,Midwest,30.6122,1.6032213271240394,,,
2021,Drexel,16,Midwest,1.6183,-1.5600170133215534,,,
2021,Loyola Chicago,8,Midwest,23.7539,0.8549798863286305,,,
2021,Georgia Tech,9,Midwest,18.5494,0.28716824516103673,,,
2021,Tennessee,5,Midwest,21.0624,0.5613368788922622,,,
2021,Oregon State,12,Midwest,10.1728,-0.6267199272675273,,,
2021,Oklahoma State,4,Midwest,18.7671,0.3109193440720148,,,
2021,Liberty,13,Midwest,8.37002,-0.823403464680173,,,
2021,San Diego State,6,Midwest,21.296,0.5868226699147907,,,
2021,Syracuse,11,Midwest,16.2268,0.03377227671529725,,,
2021,West Virginia,3,Midwest,20.3206,0.48040640037979776,,,
2021,Morehead State,14,Midwest,3.89559,-1.3115643718930687,,,
2021,Clemson,7,Midwest,16.1652,0.027051708534698737,,,
2021,Rutgers,10,Midwest,18.1428,0.2428081311637763,,,
2021,Houston,2,Midwest,28.8202,1.4077138891429983,,,
2021,Cleveland State,15,Midwest,1.37289,-1.5867912769124726,,,
2019,Duke,1,East,31.9925,1.690619313859656,,,
2019,North Dakota State,16,East,-3.19855,-1.860713378589378,,,
2019,North Carolina Central,16,East,-11.8864,-2.7374546446809935,,,
2019,VCU,8,East,15.6895,0.04538915207145709,,,
2019,UCF,9,East,14.5761,-0.06697049106998813,,,
2019,Mississippi State,5,East,20.6776,0.5487672156190078,,,
2019,Liberty,12,East,10.8215,-0.44586892482144325,,,
2019,Virginia Tech,4,East,24.4696,0.931439900002302,,,
2019,Saint Louis,13,East,6.27254,-0.9049308273404916,,,
2019,Maryland,6,East,19.9776,0.4781261610123866,,,
2019,Belmont,11,East,13.0739,-0.21856619425579646,,,
2019,Temple,11,East,9.3923,-0.590097775169704,,,
2019,LSU,3,East,20.9656,0.5778309638000171,,,
2019,Yale,14,East,8.58693,-0.6713723268104671,,,
2019,Louisville,7,East,20.9708,0.5783557259199522,,,
2019,Minnesota,10,East,14.4575,-0.07893910403619568,,,
