team,srs,season
Gonzaga,27.79,2019
Duke,26.9,2019
Virginia,25.46,2019
Michigan State,24.93,2019
North Carolina,23.94,2019
Texas Tech,22.79,2019
Michigan,21.82,2019
Tennessee,21.55,2019
Kentucky,21.43,2019
Purdue,21.4,2019
Auburn,20.84,2019
Virginia Tech,19.28,2019
Houston,18.91,2019
Kansas,18.35,2019
Iowa State,18.07,2019
Florida State,17.99,2019
Wisconsin,17.9,2019
Louisville,17.28,2019
Louisiana State,16.5,2019
Texas,16.06,2019
Maryland,16.01,2019
Nevada,16.0,2019
Mississippi State,15.96,2019
Buffalo,15.56,2019
Florida,15.42,2019
Kansas State,15.39,2019
Oklahoma,15.3,2019
NC State,14.94,2019
Nebraska,14.85,2019
Marquette,14.78,2019
Cincinnati,14.53,2019
Villanova,14.33,2019
Iowa,14.27,2019
Oregon,13.95,2019
Wofford,13.92,2019
Ohio State,13.89,2019
Clemson,13.85,2019
Indiana,13.82,2019
TCU,13.81,2019
Syracuse,13.73,2019
Baylor,13.38,2019
UCF,13.37,2019
Saint Mary's (CA),12.58,2019
Penn State,12.55,2019
Minnesota,12.52,2019
Mississippi,12.32,2019
Washington,12.01,2019
Creighton,12.0,2019
Utah State,11.98,2019
Virginia Commonwealth,11.96,2019
Arkansas,11.75,2019
Memphis,10.7,2019
Arizona State,10.28,2019
Seton Hall,10.25,2019
New Mexico State,10.05,2019
Northwestern,9.97,2019
Colorado,9.68,2019
Dayton,9.67,2019
Xavier,9.61,2019
Alabama,9.45,2019
Miami (FL),9.39,2019
Butler,9.22,2019
Lipscomb,9.21,2019
Belmont,9.12,2019
Fresno State,8.99,2019
Murray State,8.96,2019
Illinois,8.95,2019
Rutgers,8.89,2019
Missouri,8.6,2019
San Francisco,8.56,2019
South Carolina,8.34,2019
Arizona,8.32,2019
Providence,8.29,2019
Southern California,8.23,2019
Toledo,8.21,2019
Temple,8.17,2019
Oklahoma State,8.09,2019
Notre Dame,7.97,2019
Pittsburgh,7.88,2019
St. John's (NY),7.88,2019
Oregon State,7.84,2019
Wichita State,7.72,2019
Furman,7.46,2019
Texas A&M,7.21,2019
UCLA,7.17,2019
West Virginia,6.94,2019
Georgia Tech,6.93,2019
Connecticut,6.81,2019
Georgetown,6.8,2019
Davidson,6.38,2019
Brigham Young,6.15,2019
Utah,6.13,2019
San Diego,6.12,2019
Stanford,6.03,2019
DePaul,6.0,2019
South Florida,5.96,2019
South Dakota State,5.92,2019
Boston College,5.83,2019
Southern Methodist,5.81,2019
UC Irvine,5.7,2019
Yale,5.52,2019
Georgia,5.31,2019
San Diego State,5.29,2019
Liberty,5.27,2019
East Tennessee State,5.21,2019
Saint Louis,5.06,2019
Vermont,4.88,2019
Akron,4.86,2019
Hofstra,4.68,2019
Northern Kentucky,4.67,2019
Tulsa,4.65,2019
Bowling Green,4.24,2019
UNC Greensboro,4.08,2019
Loyola (IL),3.99,2019
Northeastern,3.95,2019
Grand Canyon,3.85,2019
Georgia Southern,3.75,2019
Old Dominion,3.74,2019
Boise State,3.61,2019
Vanderbilt,3.57,2019
Ball State,3.39,2019
St. Bonaventure,3.34,2019
Wright State,3.29,2019
Western Kentucky,3.14,2019
Utah Valley,3.0,2019
Loyola Marymount,2.93,2019
Rhode Island,2.83,2019
Central Michigan,2.79,2019
Northern Illinois,2.58,2019
Southern Mississippi,2.58,2019
Drake,2.52,2019
Georgia State,2.44,2019
College of Charleston,2.36,2019
Pennsylvania,2.04,2019
Harvard,1.86,2019
Jacksonville State,1.59,2019
Nevada-Las Vegas,1.58,2019
Texas State,1.54,2019
Montana,1.5,2019
Southern Illinois,1.39,2019
Radford,1.28,2019
Kent State,1.26,2019
Colgate,1.23,2019
Wake Forest,1.21,2019
Louisiana Tech,0.95,2019
Pepperdine,0.9,2019
George Mason,0.84,2019
Louisiana-Monroe,0.81,2019
Miami (OH),0.77,2019
Samford,0.69,2019
UTSA,0.69,2019
Austin Peay,0.59,2019
Bucknell,0.59,2019
Duquesne,0.53,2019
Eastern Michigan,0.4,2019
UAB,0.36,2019
Bradley,-0.08,2019
Colorado State,-0.11,2019
North Texas,-0.25,2019
Saint Joseph's,-0.43,2019
Coastal Carolina,-0.5,2019
UT Arlington,-0.5,2019
New Mexico,-0.55,2019
Brown,-0.62,2019
Marshall,-0.64,2019
Missouri State,-1.2,2019
Hawaii,-1.3,2019
Richmond,-1.37,2019
Florida Atlantic,-1.42,2019
Seattle,-1.47,2019
Northern Iowa,-1.54,2019
UC Santa Barbara,-1.62,2019
Washington State,-1.67,2019
Ohio,-1.84,2019
Abilene Christian,-1.91,2019
Santa Clara,-1.91,2019
Texas-Rio Grande Valley,-2.04,2019
Illinois State,-2.06,2019
Louisiana,-2.07,2019
Stony Brook,-2.1,2019
Green Bay,-2.24,2019
Oakland,-2.27,2019
Omaha,-2.32,2019
Lehigh,-2.34,2019
Charleston Southern,-2.43,2019
Pacific,-2.46,2019
Gardner-Webb,-2.61,2019
Indiana State,-2.72,2019
IU Indy,-2.72,2019
Mercer,-2.86,2019
Winthrop,-2.89,2019
Massachusetts,-3.02,2019
Illinois-Chicago,-3.15,2019
California,-3.16,2019
Sam Houston,-3.17,2019
Cal State Fullerton,-3.29,2019
Hampton,-3.34,2019
Valparaiso,-3.38,2019
Princeton,-3.43,2019
North Florida,-3.47,2019
Purdue Fort Wayne,-3.47,2019
Presbyterian,-3.56,2019
La Salle,-3.61,2019
Campbell,-3.62,2019
NJIT,-3.63,2019
Appalachian State,-3.73,2019
Evansville,-3.84,2019
California Baptist,-3.89,2019
Northern Colorado,-3.92,2019
Hartford,-3.95,2019
North Dakota State,-4.01,2019
American,-4.19,2019
Air Force,-4.28,2019
Weber State,-4.37,2019
South Alabama,-4.46,2019
Florida International,-4.55,2019
Long Beach State,-4.57,2019
Iona,-4.78,2019
William & Mary,-4.78,2019
Little Rock,-4.87,2019
Rider,-4.96,2019
Fordham,-5.02,2019
Florida Gulf Coast,-5.11,2019
Cal State Bakersfield,-5.12,2019
Columbia,-5.18,2019
East Carolina,-5.49,2019
South Dakota,-5.52,2019
Texas Southern,-5.55,2019
High Point,-5.63,2019
Dartmouth,-5.75,2019
Maryland-Baltimore County,-5.85,2019
Lamar,-5.94,2019
FDU,-6.09,2019
Middle Tennessee,-6.09,2019
Cornell,-6.12,2019
Troy,-6.12,2019
UC Davis,-6.26,2019
Western Michigan,-6.26,2019
Detroit Mercy,-6.33,2019
Holy Cross,-6.43,2019
Cal State Northridge,-6.54,2019
Rice,-6.56,2019
Boston University,-6.61,2019
Kansas City,-6.61,2019
George Washington,-6.65,2019
Tulane,-6.72,2019
Eastern Washington,-6.77,2019
Quinnipiac,-6.78,2019
Drexel,-7.02,2019
Arkansas State,-7.1,2019
Prairie View,-7.29,2019
Eastern Kentucky,-7.4,2019
Army,-7.57,2019
Southeastern Louisiana,-7.59,2019
Morehead State,-7.73,2019
Youngstown State,-7.78,2019
Chattanooga,-7.87,2019
Sacred Heart,-7.88,2019
Siena,-7.9,2019
Delaware,-7.91,2019
Montana State,-7.91,2019
The Citadel,-7.94,2019
Cleveland State,-7.96,2019
Norfolk State,-8.04,2019
UNC Wilmington,-8.1,2019
UTEP,-8.23,2019
Jacksonville,-8.27,2019
Massachusetts-Lowell,-8.28,2019
Charlotte,-8.34,2019
Longwood,-8.43,2019
Towson,-8.44,2019
James Madison,-8.52,2019
Saint Francis (PA),-8.74,2019
North Dakota,-8.78,2019
Sacramento State,-8.78,2019
Canisius,-8.79,2019
New Orleans,-8.88,2019
Milwaukee,-8.9,2019
Southern Utah,-8.91,2019
Portland State,-8.95,2019
Long Island University,-8.99,2019
Texas A&M-Corpus Christi,-9.11,2019
Loyola (MD),-9.13,2019
Western Carolina,-9.28,2019
Oral Roberts,-9.34,2019
Houston Christian,-9.36,2019
Albany (NY),-9.38,2019
Robert Morris,-9.41,2019
Marist,-9.49,2019
Grambling,-9.73,2019
Wyoming,-9.75,2019
Western Illinois,-10.04,2019
Navy,-10.09,2019
St. Francis (NY),-10.19,2019
Fairfield,-10.2,2019
VMI,-10.5,2019
Monmouth,-10.66,2019
Northern Arizona,-10.75,2019
Portland,-10.8,2019
Tennessee-Martin,-10.94,2019
Stephen F. Austin,-10.99,2019
North Alabama,-11.0,2019
UC Riverside,-11.12,2019
Lafayette,-11.17,2019
North Carolina A&T,-11.24,2019
Southeast Missouri State,-11.32,2019
Niagara,-11.33,2019
Central Arkansas,-11.37,2019
Elon,-11.53,2019
North Carolina Central,-11.53,2019
Tennessee State,-11.62,2019
Eastern Illinois,-11.81,2019
Denver,-11.84,2019
Nicholls State,-11.87,2019
Bethune-Cookman,-11.98,2019
Saint Peter's,-12.15,2019
Howard,-12.3,2019
Manhattan,-12.89,2019
Wagner,-12.99,2019
Idaho State,-13.17,2019
Florida A&M,-13.57,2019
Binghamton,-13.92,2019
Cal Poly,-13.95,2019
Central Connecticut State,-14.02,2019
McNeese State,-14.41,2019
Arkansas-Pine Bluff,-14.43,2019
SIU Edwardsville,-14.47,2019
Mount St. Mary's,-14.57,2019
Jackson State,-14.6,2019
Tennessee Tech,-14.76,2019
Stetson,-15.01,2019
Maine,-15.11,2019
Bryant,-15.19,2019
South Carolina Upstate,-15.3,2019
Alabama State,-15.6,2019
Morgan State,-15.98,2019
Kennesaw State,-16.17,2019
San Jose State,-16.37,2019
Southern,-16.79,2019
South Carolina State,-16.86,2019
Northwestern State,-17.06,2019
New Hampshire,-18.66,2019
Idaho,-18.74,2019
Coppin State,-18.9,2019
Incarnate Word,-18.93,2019
Alabama A&M,-19.23,2019
UNC Asheville,-19.81,2019
Savannah State,-20.51,2019
Alcorn State,-22.08,2019
Mississippi Valley State,-22.47,2019
Maryland-Eastern Shore,-24.21,2019
Chicago State,-24.83,2019
Delaware State,-26.82,2019
